B,resident_context_sum,kappa,P_k,t_iter_observed
8,8409.0,8192,0,0.017190405051223934
8,8417.0,8192,8192,0.01696035754866898
8,8425.0,8192,16384,0.5626001675846055
8,8433.0,8192,24576,0.6690630170051008
16,16401.0,8192,0,0.5295521575026214
16,16417.0,8192,8192,0.6173859435366467
16,16433.0,8192,16384,0.6987057654187083
16,16449.0,8192,24576,0.7662129655946046
32,32802.0,8192,0,0.5583324934123084
32,32834.0,8192,8192,0.5594967075157911
32,32866.0,8192,16384,0.5945137036032975
32,32898.0,8192,24576,0.6463122834684327
