B,resident_context_sum,kappa,P_k,t_iter_observed
4,16390.0,8192,0,0.5658032829524018
4,16398.0,8192,8192,0.6638249324751087
4,16402.0,7616,16384,0.6990321124321781
4,16396.0,8192,0,0.5634972060215659
4,16400.0,8192,8192,0.6654242214863189
4,16404.0,7616,16384,0.7031271695159376
4,16389.0,8192,0,0.5630852140020579
4,16397.0,8192,8192,0.663849173928611
4,16401.0,7616,16384,0.7044205745332874
4,16391.0,8192,0,0.566008725494612
4,16399.0,8192,8192,0.6617471890058368
4,16403.0,7616,16384,0.6963254779693671
4,16395.0,8192,0,0.5596671875100583
4,16399.0,8192,8192,0.6649541734950617
4,16403.0,7616,16384,0.6974398389575072
4,16391.0,8192,0,0.5666091805323958
4,16399.0,8192,8192,0.6621954130241647
4,16403.0,7616,16384,0.7012766184634529
4,16389.0,8192,0,0.5611845870153047
4,16397.0,8192,8192,0.6645724144764245
4,16401.0,7616,16384,0.6954167578951456
4,16389.0,8192,0,0.5622939604800195
4,16397.0,8192,8192,0.6614632874843664
4,16401.0,7616,16384,0.7014090739539824
4,16395.0,8192,0,0.559796178014949
4,16399.0,8192,8192,0.6644901179824956
4,16403.0,7616,16384,0.6937227144953795
4,16395.0,8192,0,0.5589659750112332
4,16399.0,8192,8192,0.6592952624778263
4,16403.0,7616,16384,0.695559382031206
8,32779.0,8192,0,0.5733465610537678
8,32791.0,8192,8192,0.605432435462717
8,32799.0,7616,16384,0.6817868954967707
8,32780.0,8192,0,0.5681399259483442
8,32796.0,8192,8192,0.6503424079855904
8,28705.0,7616,16384,0.7065747970482334
8,32780.0,8192,0,0.5656189185101539
8,32792.0,8192,8192,0.6160063184797764
8,32800.0,7616,16384,0.6841837740503252
8,32779.0,8192,0,0.5695371974725276
8,32791.0,8192,8192,0.6112734435591847
8,32799.0,7616,16384,0.6812610074994154
8,32782.0,8192,0,0.5703901274246164
8,32795.0,8192,8192,0.6553458289708942
8,32803.0,7616,16384,0.7021456190268509
8,32778.0,8192,0,0.57213506300468
8,32793.0,8192,8192,0.6161599560291506
8,32801.0,7616,16384,0.6819753099698573
8,32781.0,8192,0,0.5693463385105133
8,32794.0,8192,8192,0.6541963630006649
8,32802.0,7616,16384,0.7010859635192901
8,32781.0,8192,0,0.5690365280024707
8,32795.0,8192,8192,0.6540849619777873
8,28704.0,7616,16384,0.7049165319185704
8,32779.0,8192,0,0.5673370945150964
8,32791.0,8192,8192,0.6165927749825642
8,32799.0,7616,16384,0.680214939522557
8,32780.0,8192,0,0.5688118460238911
8,32792.0,8192,8192,0.6161193040315993
8,32800.0,7616,16384,0.6849706104840152
16,65561.0,8192,0,0.5697648950153962
16,65611.0,8192,8192,0.6158632370061241
16,65627.0,7616,16384,0.6911925874883309
16,65562.0,8192,0,0.564090785512235
16,65612.0,8192,8192,0.6185194369754754
16,65628.0,7616,16384,0.6893978635198437
16,65574.0,8192,0,0.5659553685109131
16,65612.0,8192,8192,0.6184947989531793
16,65628.0,7616,16384,0.6862810360034928
16,65602.0,8192,0,0.5784206694806926
16,65618.0,8192,8192,0.6465061464696191
16,65634.0,7616,16384,0.7055835090577602
16,65570.0,8192,0,0.5671984700602479
16,65613.0,8192,8192,0.6124460454448126
16,65629.0,7616,16384,0.6881711134919897
16,65602.0,8192,0,0.5777968505281024
16,65618.0,8192,8192,0.6449178559705615
16,61535.0,7616,16384,0.7089717449853197
16,65603.0,8192,0,0.5800259504467249
16,65619.0,8192,8192,0.6445391069864854
16,65636.0,7616,16384,0.7057577530504204
16,65574.0,8192,0,0.5655827645095997
16,65612.0,8192,8192,0.619558734993916
16,65628.0,7616,16384,0.6891747720073909
16,65582.0,8192,0,0.5728045069845393
16,65618.0,8192,8192,0.6441575004719198
16,61535.0,7616,16384,0.7134946200530976
16,65574.0,8192,0,0.5686182380304672
16,65612.0,8192,8192,0.6147054074681364
16,65628.0,7616,16384,0.6911840380053036
32,131331.0,8192,0,0.5769994999282062
32,131363.0,8192,8192,0.6506512994528748
32,127296.0,7616,16384,0.7215883430326357
32,131170.0,8192,0,0.5685616369592026
32,131348.0,8192,8192,0.6048538765171543
32,131380.0,7616,16384,0.6911606084904633
32,131331.0,8192,0,0.5766613195301034
32,131363.0,8192,8192,0.6528155000414699
32,131395.0,7616,16384,0.7214660284807906
32,131331.0,8192,0,0.5803488160017878
32,131363.0,8192,8192,0.6492939069867134
32,131395.0,7616,16384,0.7249853129615076
32,131196.0,8192,0,0.5661465840530582
32,131348.0,8192,8192,0.6057214864413254
32,131380.0,7616,16384,0.6894793524988927
32,131150.0,8192,0,0.5685799215571024
32,131348.0,8192,8192,0.60802900895942
32,131380.0,7616,16384,0.6928060150239617
32,131166.0,8192,0,0.5680722005199641
32,131349.0,8192,8192,0.6084890480269678
32,131381.0,7616,16384,0.6908769329893403
32,131226.0,8192,0,0.6252903030253947
32,131363.0,8192,8192,0.651035639049951
32,127296.0,7616,16384,0.7294693340081722
32,131170.0,8192,0,0.5686087755020708
32,131348.0,8192,8192,0.6077266800566576
32,131380.0,7616,16384,0.6927296444191597
32,131330.0,8192,0,0.5732855024980381
32,131362.0,8192,8192,0.653297926473897
32,127295.0,7616,16384,0.726791646098718
