B,n,k,t_iter
1,64,4,0.010817130096256733
1,64,5,0.01084026787430048
1,64,6,0.010831134393811226
1,64,7,0.011397493071854115
1,64,8,0.010540292598307133
1,64,9,0.010819097980856895
1,64,10,0.010822487995028496
1,64,11,0.010854697786271572
1,64,12,0.010891762562096119
1,64,13,0.010744066908955574
1,64,14,0.010831780731678009
1,64,15,0.010863159783184528
1,64,16,0.010974005796015263
1,64,17,0.010762686841189861
1,64,18,0.010870841331779957
1,64,19,0.010845517739653587
1,64,20,0.010839800350368023
1,64,21,0.01132811140269041
1,64,22,0.010437804274260998
1,64,23,0.010804463177919388
1,64,24,0.01077333465218544
1,64,25,0.010784721001982689
1,64,26,0.010947459377348423
1,64,27,0.010760706849396229
1,64,28,0.010844869539141655
1,64,29,0.01099969819188118
1,64,30,0.010766914114356041
1,64,31,0.010939047671854496
1,1024,4,0.010914541780948639
1,1024,5,0.011076691560447216
1,1024,6,0.010942577384412289
1,1024,7,0.01106454711407423
1,1024,8,0.01117753330618143
1,1024,9,0.010686682537198067
1,1024,10,0.011015720665454865
1,1024,11,0.010933670215308666
1,1024,12,0.011143405921757221
1,1024,13,0.010872608982026577
1,1024,14,0.010987186804413795
1,1024,15,0.010814974084496498
1,1024,16,0.010998973622918129
1,1024,17,0.010889394208788872
1,1024,18,0.011212540790438652
1,1024,19,0.011072699911892414
1,1024,20,0.010657286271452904
1,1024,21,0.01087699830532074
1,1024,22,0.010935668833553791
1,1024,23,0.01089790090918541
1,1024,24,0.010790220461785793
1,1024,25,0.010953820310533047
1,1024,26,0.011016490869224072
1,1024,27,0.010866460390388966
1,1024,28,0.011033711954951286
1,1024,29,0.010908070020377636
1,1024,30,0.011053906753659248
1,1024,31,0.011056800372898579
4,64,4,0.010986184235662222
4,64,5,0.01117953797802329
4,64,6,0.01076953113079071
4,64,7,0.010872488375753164
4,64,8,0.010964339133352041
4,64,9,0.011040883138775826
4,64,10,0.011110170744359493
4,64,11,0.010946392081677914
4,64,12,0.010985563974827528
4,64,13,0.011054154485464096
4,64,14,0.011043566279113293
4,64,15,0.010931665077805519
4,64,16,0.011050248052924871
4,64,17,0.010873802471905947
4,64,18,0.011129108723253012
4,64,19,0.010814022272825241
4,64,20,0.010922957211732864
4,64,21,0.010957506019622087
4,64,22,0.010989869479089975
4,64,23,0.010959516279399395
4,64,24,0.010951416566967964
4,64,25,0.01100296713411808
4,64,26,0.01094156363978982
4,64,27,0.010946006514132023
4,64,28,0.011144367046654224
4,64,29,0.010843040887266397
4,64,30,0.011582682840526104
4,64,31,0.010753003414720297
4,1024,4,0.011284240055829287
4,1024,5,0.011212059762328863
4,1024,6,0.011383686680346727
4,1024,7,0.01120084198191762
4,1024,8,0.011219116393476725
4,1024,9,0.011220138520002365
4,1024,10,0.011341162491589785
4,1024,11,0.011190858203917742
4,1024,12,0.011229068506509066
4,1024,13,0.011262667365372181
4,1024,14,0.011230521835386753
4,1024,15,0.011223619803786278
4,1024,16,0.011144149582833052
4,1024,17,0.011199572589248419
4,1024,18,0.011292349081486464
4,1024,19,0.011193208396434784
4,1024,20,0.01118641346693039
4,1024,21,0.014823215547949076
4,1024,22,0.010971233248710632
4,1024,23,0.007692202925682068
4,1024,24,0.010830681771039963
4,1024,25,0.011030602734535933
4,1024,26,0.01111936243250966
4,1024,27,0.011339402757585049
4,1024,28,0.011029893532395363
4,1024,29,0.011410018894821405
4,1024,30,0.011171197984367609
4,1024,31,0.010903680231422186
