B,resident_context_sum,kappa,P_k,t_iter_observed
8,8669.0,2048,0,0.08002530783414841
8,8677.0,2048,2048,0.09868664667010307
8,8685.0,2048,4096,0.1047588693909347
8,8693.0,2048,6144,0.11039494257420301
8,8701.0,2048,8192,0.11656243819743395
8,8709.0,2048,10240,0.12140801828354597
8,8717.0,2048,12288,0.13029731437563896
8,8725.0,1664,14336,0.14392746053636074
8,8669.0,2048,0,0.08094923663884401
8,8677.0,2048,2048,0.09887549700215459
8,8685.0,2048,4096,0.10361679876223207
8,8693.0,2048,6144,0.11041915835812688
8,8701.0,2048,8192,0.11526704579591751
8,8709.0,2048,10240,0.12117049051448703
8,8717.0,2048,12288,0.1315623614937067
8,8725.0,1664,14336,0.1403973218984902
8,8665.0,2048,0,0.08486491674557328
8,8673.0,2048,2048,0.0976909906603396
8,8681.0,2048,4096,0.10440694494172931
8,8689.0,2048,6144,0.11023650085553527
8,8697.0,2048,8192,0.11506302654743195
8,8705.0,2048,10240,0.12103951163589954
8,8713.0,2048,12288,0.12836659839376807
8,8721.0,1664,14336,0.14157513715326786
16,16857.0,2048,0,0.08646461507305503
16,16873.0,2048,2048,0.0993702607229352
16,16889.0,2048,4096,0.10427136532962322
16,16905.0,2048,6144,0.10914492094889283
16,16921.0,2048,8192,0.11608722107484937
16,16937.0,2048,10240,0.12119315192103386
16,16953.0,2048,12288,0.146039507817477
16,16969.0,1664,14336,0.13082358706742525
16,16857.0,2048,0,0.08412453019991517
16,16873.0,2048,2048,0.09877941710874438
16,16889.0,2048,4096,0.10486395843327045
16,16905.0,2048,6144,0.11014123074710369
16,16921.0,2048,8192,0.11588353430852294
16,16937.0,2048,10240,0.12140065478160977
16,16953.0,2048,12288,0.13457095669582486
16,16969.0,1664,14336,0.14259147364646196
16,16841.0,2048,0,0.08255341649055481
16,16857.0,2048,2048,0.09743591025471687
16,16873.0,2048,4096,0.10505967820063233
16,16889.0,2048,6144,0.11049749189987779
16,16905.0,2048,8192,0.1163796610198915
16,16921.0,2048,10240,0.12237526895478368
16,16937.0,2048,12288,0.13480486627668142
16,16953.0,1664,14336,0.14345443528145552
32,32897.0,2048,0,0.0933388452976942
32,33007.0,2048,2048,0.18209451530128717
32,33093.0,2048,4096,0.10770712280645967
32,33125.0,2048,6144,0.1188310575671494
32,33157.0,2048,8192,0.11603304976597428
32,33189.0,2048,10240,0.12149793421849608
32,33221.0,2048,12288,0.1250108601525426
32,33253.0,1664,14336,0.1312387832440436
32,32894.0,2048,0,0.0965040223672986
32,33058.0,2048,2048,0.09593134885653853
32,33090.0,2048,4096,0.10253702150657773
32,33122.0,2048,6144,0.11479166289791465
32,33154.0,2048,8192,0.12148865731433034
32,33186.0,2048,10240,0.12389504769816995
32,33218.0,2048,12288,0.12689262768253684
32,33250.0,1664,14336,0.13177127251401544
32,32880.0,2048,0,0.10293430648744106
32,33043.0,2048,2048,0.0970742185600102
32,33075.0,2048,4096,0.10205136286094785
32,33107.0,2048,6144,0.11365625448524952
32,33139.0,2048,8192,0.1206235303543508
32,33171.0,2048,10240,0.12236509518697858
32,33203.0,2048,12288,0.12635720428079367
32,33235.0,1664,14336,0.14227302838116884
