n,ttft
64,0.020901004783809185
64,0.0188693106174469
64,0.016586851328611374
128,0.01656942069530487
128,0.019121741876006126
128,0.01714067067950964
256,0.020539162680506706
256,0.01863017398864031
256,0.018147466704249382
512,0.027253620326519012
512,0.028665028512477875
512,0.027423348277807236
1024,0.04877880495041609
1024,0.054857268929481506
1024,0.04952297452837229
2048,0.09459851682186127
2048,0.09526985790580511
2048,0.09811411798000336
4096,0.19544683676213026
4096,0.19575847871601582
4096,0.20001320261508226
8192,0.4185920711606741
8192,0.4145896201953292
8192,0.4198042107746005
16000,0.90951784607023
16000,0.9034802718088031
16000,0.9053623313084245
