index,included,size_mib,xfer_ms,reported_mib_s,predicted_ms
0,False,2.5,757.946,3.298,
1,False,27.5,2.751,9996.365,
2,False,122.5,148.688,823.873,
3,True,367.5,31.821,11548.977,32.14521408815419
4,True,420.0,36.305,11568.654,36.65236435861737
5,True,2342.5,201.882,11603.313,201.69991473891181
6,True,97.5,9.182,10618.602,8.965584125772141
7,True,177.5,16.284,10900.27,15.833622633144602
8,True,195.0,16.827,11588.518,17.33600605663233
9,True,1560.0,134.465,11601.532,134.52191308867495
10,True,2362.5,203.623,11602.324,203.41692436575497
11,True,487.5,42.26,11535.731,42.44727184921288
12,True,1507.5,130.315,11568.123,130.01476281821178
13,True,730.0,64.059,11395.745,63.26601357468567
14,True,222.5,19.832,11219.242,19.69689429354161
15,True,1057.5,91.184,11597.429,91.38204621424167
16,True,322.5,28.26,11411.89,28.281942427757187
17,True,1862.5,159.802,11655.048,160.49168369467705
18,True,2150.0,185.125,11613.774,185.17369708054684
19,True,742.5,64.439,11522.525,64.33914459146261
