B,resident_context_sum,kappa,P_k,t_iter_observed
8,8661.0,2048,0,0.08503924653632566
8,8669.0,2048,2048,0.09814461745554581
8,8677.0,2048,4096,0.10386583500076085
8,8685.0,2048,6144,0.10955631051911041
8,8693.0,2048,8192,0.11565557407448068
8,8701.0,2048,10240,0.12210818246239796
8,8709.0,2048,12288,0.12821546650957316
8,8717.0,1664,14336,0.14286643592640758
8,8661.0,2048,0,0.07929548353422433
8,8669.0,2048,2048,0.09995584550779313
8,8677.0,2048,4096,0.10371684102574363
8,8685.0,2048,6144,0.11023642052896321
8,8693.0,2048,8192,0.11560383602045476
8,8701.0,2048,10240,0.12232518795644864
8,8709.0,2048,12288,0.12876928149489686
8,8717.0,1664,14336,0.14181825402192771
8,8665.0,2048,0,0.082239598443266
8,8673.0,2048,2048,0.098054354544729
8,8681.0,2048,4096,0.10359877650626004
8,8689.0,2048,6144,0.11007830646121874
8,8697.0,2048,8192,0.11446388153126463
8,8705.0,2048,10240,0.12218680104706436
8,8713.0,2048,12288,0.12988160597160459
8,8721.0,1664,14336,0.1431824555620551
16,16841.0,2048,0,0.08653388998936862
16,16857.0,2048,2048,0.10104470851365477
16,16873.0,2048,4096,0.10411173000466079
16,16889.0,2048,6144,0.11102282645879313
16,16905.0,2048,8192,0.1178133215289563
16,16921.0,2048,10240,0.12057540146633983
16,16937.0,2048,12288,0.14647106849588454
16,16953.0,1664,14336,0.12503801001003012
16,16841.0,2048,0,0.08449688600376248
16,16857.0,2048,2048,0.09713777591241524
16,16873.0,2048,4096,0.10412347898818552
16,16889.0,2048,6144,0.11049261048901826
16,16905.0,2048,8192,0.11737575102597475
16,16921.0,2048,10240,0.12113369192229584
16,16937.0,2048,12288,0.13321267202263698
16,16953.0,1664,14336,0.14336301299044862
16,16841.0,2048,0,0.08714108949061483
16,16857.0,2048,2048,0.0998150265077129
16,16873.0,2048,4096,0.10424078599317
16,16889.0,2048,6144,0.1102504400187172
16,16905.0,2048,8192,0.11606614949414507
16,16921.0,2048,10240,0.12264925701310858
16,16937.0,2048,12288,0.13114696397678927
16,16953.0,1664,14336,0.14281849504914135
32,32901.0,2048,0,0.09523758105933666
32,32993.0,2048,2048,0.18278888799250126
32,33077.0,2048,4096,0.10192859155358747
32,33109.0,2048,6144,0.11352190701290965
32,33141.0,2048,8192,0.11995289800688624
32,33173.0,2048,10240,0.12467453704448417
32,33205.0,2048,12288,0.1290578980697319
32,33237.0,1664,14336,0.14497668051626533
32,32921.0,2048,0,0.09311070496914908
32,33073.0,2048,2048,0.09961164154810831
32,33105.0,2048,4096,0.11367697949754074
32,33137.0,2048,6144,0.12067579897120595
32,33169.0,2048,8192,0.11839158902876079
32,33201.0,2048,10240,0.12857339152833447
32,33233.0,2048,12288,0.1328552680206485
32,33265.0,1664,14336,0.09555161296157166
32,32897.0,2048,0,0.09526876849122345
32,33058.0,2048,2048,0.0962776264641434
32,33090.0,2048,4096,0.10353612352628261
32,33122.0,2048,6144,0.11625870643183589
32,33154.0,2048,8192,0.12085241754539311
32,33186.0,2048,10240,0.12268857099115849
32,33218.0,2048,12288,0.1268263824749738
32,33250.0,1664,14336,0.13630404649302363
