n,ttft
64,0.02146474097389728
64,0.017568976967595518
64,0.01861910696607083
128,0.017264791997149587
128,0.016969884978607297
128,0.019696934963576496
256,0.01928872603457421
256,0.020830665016546845
256,0.0189872479531914
512,0.028104911092668772
512,0.0277540129609406
512,0.028325538034550846
1024,0.049528776900842786
1024,0.04999186401255429
1024,0.05001513904426247
2048,0.09696963999886066
2048,0.09361759794410318
2048,0.09325766796246171
4096,0.19414545595645905
4096,0.20218391297385097
4096,0.20066409499850124
8192,0.41451542905997485
8192,0.41801730904262513
8192,0.41727622505277395
16000,0.903235814999789
16000,0.9124869370134547
16000,0.9094660920090973
