B,resident_context_sum,kappa,P_k,t_iter_observed
4,16481.0,2048,0,0.079315769020468
4,16485.0,2048,2048,0.09718985646031797
4,16489.0,2048,4096,0.10463411250384524
4,16493.0,2048,6144,0.11004228400997818
4,16497.0,2048,8192,0.11574082903098315
4,16501.0,2048,10240,0.12210944900289178
4,16505.0,2048,12288,0.13279043202055618
4,16509.0,1664,14336,0.13991587597411126
4,16485.0,2048,0,0.08004633098607883
4,16489.0,2048,2048,0.10064020153367892
4,16493.0,2048,4096,0.1052463770029135
4,16497.0,2048,6144,0.11141342855989933
4,16501.0,2048,8192,0.11724425997817889
4,16505.0,2048,10240,0.12381014600396156
4,16509.0,2048,12288,0.13032746844692156
4,16513.0,1664,14336,0.14226745546329767
4,16485.0,2048,0,0.07910622650524601
4,16489.0,2048,2048,0.10075544205028564
4,16493.0,2048,4096,0.10472786944592372
4,16497.0,2048,6144,0.11080977355595678
4,16501.0,2048,8192,0.11709387297742069
4,16505.0,2048,10240,0.12245196354342625
4,16509.0,2048,12288,0.1327193170436658
4,16513.0,1664,14336,0.14525467850035056
4,16489.0,2048,0,0.08325080299982801
4,16493.0,2048,2048,0.10120056301821023
4,16497.0,2048,4096,0.1041242495412007
4,16501.0,2048,6144,0.11093216098379344
4,16505.0,2048,8192,0.11805414594709873
4,16509.0,2048,10240,0.1231180370086804
4,16513.0,2048,12288,0.13122373051010072
4,16517.0,1664,14336,0.14323028549551964
4,16489.0,2048,0,0.08051962498575449
4,16493.0,2048,2048,0.09814310702495277
4,16497.0,2048,4096,0.10482371848775074
4,16501.0,2048,6144,0.11090110300574452
4,16505.0,2048,8192,0.11643904150696471
4,16509.0,2048,10240,0.12182765000034124
4,16513.0,2048,12288,0.13248581200605258
4,16517.0,1664,14336,0.14568912354297936
8,32795.0,2048,0,0.09560217044781893
8,32812.0,2048,2048,0.09520222101127729
8,32842.0,2048,4096,0.10666570597095415
8,32850.0,2048,6144,0.11753128503914922
8,32858.0,2048,8192,0.11941675702109933
8,32866.0,2048,10240,0.12205541000002995
8,32874.0,2048,12288,0.1410710450145416
8,28778.0,1664,14336,0.12192554702050984
8,32795.0,2048,0,0.09600230806972831
8,32808.0,2048,2048,0.09605491848196834
8,32842.0,2048,4096,0.10551747801946476
8,32850.0,2048,6144,0.11713996151229367
8,32858.0,2048,8192,0.12074323848355561
8,32866.0,2048,10240,0.12388643604936078
8,32874.0,2048,12288,0.1315263329888694
8,32882.0,1664,14336,0.13184442493366078
8,32819.0,2048,0,0.09502029250143096
8,32834.0,2048,2048,0.09551660943543538
8,32842.0,2048,4096,0.10895869298838079
