B,repeat,stream_index,k,start_minus_fire,end_minus_fire,t_iter_observed,injection_ttft
4,0,0,26,-0.0036745649995282292,0.008557518012821674,0.012232083012349904,0.9245635379338637
4,0,0,27,0.008557518012821674,0.023105992004275322,0.014548473991453648,0.9245635379338637
4,0,0,28,0.023105992004275322,0.10241501498967409,0.07930902298539877,0.9245635379338637
4,0,0,29,0.10241501498967409,0.1996102399425581,0.09719522495288402,0.9245635379338637
4,0,0,30,0.1996102399425581,0.3042424189625308,0.10463217901997268,0.9245635379338637
4,0,0,31,0.3042424189625308,0.4142916299169883,0.11004921095445752,0.9245635379338637
4,0,0,32,0.4142916299169883,0.5300313689513132,0.11573973903432488,0.9245635379338637
4,0,0,33,0.5300313689513132,0.6521318869199604,0.12210051796864718,0.9245635379338637
4,0,0,34,0.6521318869199604,0.7849297740031034,0.132797887083143,0.9245635379338637
4,0,0,35,0.7849297740031034,0.9249406289309263,0.14001085492782295,0.9245635379338637
4,0,1,21,-0.003629198996350169,0.00861057499423623,0.0122397739905864,0.9245635379338637
4,0,1,22,0.00861057499423623,0.023162293946370482,0.014551718952134252,0.9245635379338637
4,0,1,23,0.023162293946370482,0.1024848090019077,0.07932251505553722,0.9245635379338637
4,0,1,24,0.1024848090019077,0.19966929696965963,0.09718448796775192,0.9245635379338637
4,0,1,25,0.19966929696965963,0.30430534295737743,0.10463604598771781,0.9245635379338637
4,0,1,26,0.30430534295737743,0.41435016598552465,0.11004482302814722,0.9245635379338637
4,0,1,27,0.41435016598552465,0.5300924709299579,0.11574230494443327,0.9245635379338637
4,0,1,28,0.5300924709299579,0.6522108509670943,0.12211838003713638,0.9245635379338637
4,0,1,29,0.6522108509670943,0.7849938279250637,0.13278297695796937,0.9245635379338637
4,0,1,30,0.7849938279250637,0.9247541229706258,0.1397602950455621,0.9245635379338637
4,0,2,19,-0.0037575270980596542,0.008445449988357723,0.012202977086417377,0.9245635379338637
4,0,2,20,0.008445449988357723,0.02299852599389851,0.014553076005540788,0.9245635379338637
4,0,2,21,0.02299852599389851,0.10222539294045419,0.07922686694655567,0.9245635379338637
4,0,2,22,0.10222539294045419,0.1995095469756052,0.097284154035151,0.9245635379338637
4,0,2,23,0.1995095469756052,0.304137053899467,0.1046275069238618,0.9245635379338637
4,0,2,24,0.304137053899467,0.4141442849067971,0.11000723100733012,0.9245635379338637
4,0,2,25,0.4141442849067971,0.5298851439729333,0.11574085906613618,0.9245635379338637
4,0,2,26,0.5298851439729333,0.6519567409995943,0.12207159702666104,0.9245635379338637
4,0,2,27,0.6519567409995943,0.7848195499973372,0.13286280899774283,0.9245635379338637
4,0,2,28,0.7848195499973372,0.9248219269793481,0.1400023769820109,0.9245635379338637
4,0,3,23,-0.0035857210168614984,0.00865915697067976,0.012244877987541258,0.9245635379338637
4,0,3,24,0.00865915697067976,0.023208791972137988,0.014549635001458228,0.9245635379338637
4,0,3,25,0.023208791972137988,0.10255505493842065,0.07934626296628267,0.9245635379338637
4,0,3,26,0.10255505493842065,0.1997214099392295,0.09716635500080884,0.9245635379338637
4,0,3,27,0.1997214099392295,0.30436228692997247,0.10464087699074298,0.9245635379338637
4,0,3,28,0.30436228692997247,0.4144020319217816,0.11003974499180913,0.9245635379338637
4,0,3,29,0.4144020319217816,0.5301428309176117,0.11574079899583012,0.9245635379338637
4,0,3,30,0.5301428309176117,0.652279938920401,0.12213710800278932,0.9245635379338637
4,0,3,31,0.652279938920401,0.7850526829715818,0.13277274405118078,0.9245635379338637
